lab_id	inhibitor	plot_name	type	min_conc	max_conc	inhibitor1	inhibitor2	auc	rescaled_auc	zscore
10326	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.29554123996494	0.801872056876234	0.823608247313511
10336	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.10171768333252	0.734166153221773	0.159535435959482
10348	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	1.78163526817426	0.622355857617246	-0.937121920825263
10356	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.53921504122887	0.886991508805289	1.65847656296176
10404	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.11292217005663	0.738080073241718	0.197923932837455
20003	AXITINIB;GEFITINIB	AXI + GEF	combination	0.0193993614047679	14.142135623731	AXITINIB	GEFITINIB	2.29205589815904	0.800654567007546	0.811666867370916
10004	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		2.01196373854077	0.70281356455985	0.539244566933932
10021	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.46340671195359	0.511193153200097	-1.11518309333577
10054	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		2.28446772987468	0.798003899175464	1.36110650460994
10058	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.95042954826144	0.68131861274532	0.35365972977711
10139	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.85349554189179	0.647457895855295	0.0613103593635102
10159	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.69000773371013	0.590348790442908	-0.43176281054075
10205	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		2.23657115482138	0.781272801095222	1.21665220950528
10250	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		2.26464517493307	0.79107953954098	1.30132241361643
10289	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.69595941035699	0.592427813538184	-0.413812774368941
10290	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.94095247877831	0.678008109251927	0.325077239477546
10292	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.66721559290145	0.58238710335141	-0.500503062443543
10308	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.55647258390236	0.543702664157104	-0.834499872965598
10320	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.29249054245058	0.451489193318373	-1.63065992565774
10326	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.43233678433487	0.500339892695431	-1.20888884344671
10336	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		2.01096810278201	0.702465771852056	0.536241766388144
10348	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.48011687617322	0.517030301183737	-1.06478585740097
10356	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		1.48572926450329	0.518990805030001	-1.04785910221708
10404	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		2.26247025486028	0.790319802524	1.29476293528892
20003	AZD2014	AZD2014	single-agent	0.0137174211248285	10	AZD2014		2.25047232297423	0.786128718403222	1.25857761741631
10004	BAICALIN	BAICALIN	single-agent	0.0137174211248285	10	BAICALIN		2.84859548719085	0.99506343478821	1.22429664359804
10021	BAICALIN	BAICALIN	single-agent	0.0137174211248285	10	BAICALIN		2.73814191745473	0.956480101710396	0.54360431268459
